nomor,nama_akun,tanggal_komentar,komentar
106,@ardianlog9404,2023-09-15T23:58:27Z,MABES POLRI KALIMANTAN SELATAN 💖👍👍👍👍👍👍
107,@Agusimronrosyidi-ze5eh,2023-09-14T06:58:48Z,"Tanpa perlindungan n backing pejabat &amp; aparat, tidak mgkn mereka berani bisnis.....🏹👍✍️✍️✍️💪👹👿🗡️"
108,@CoyBlack-kq1sd,2023-09-13T08:31:21Z,"Uwooouw, mantap."
109,@ayupurwati738,2023-09-13T04:32:28Z,semoga ada hukuman mati terlaksana tdk hanya di miskin kan
110,@ashavalanore6173,2023-09-13T01:32:14Z,Nah kalo T nilainya baru saya percaya. Kalau kurang dari 1T biasanya cuma pengalihan dari gembong narkoba yg lebih besar.
111,@user-dc1cy3gk1m,2023-09-20T15:55:01Z,Lenyapkan...
112,@supriantoo8300,2023-09-19T05:00:33Z,Tumben banget bandar gedenya di tangkap apa sudah pada gak dapet upeti lg
113,@v-venom2621,2023-09-18T13:20:31Z,Kan china yg punya kerja
114,@ambarawa1cell69,2023-09-13T06:51:05Z,Harus hukuman mati bandar narkoba dan koropsi penyakit masyarakat harus di brantas sampai ke akar akarnya demi kemajuan negara
115,@kost2098,2023-09-12T22:13:01Z,10T : tahu telor tempe terong timun tomat ................
116,@abiekenzo7657,2023-09-15T22:47:40Z,"coba jika ada pejabat atau oknum yg melakukan korupsi juga di miskin kan dan di sita smua asetnya,krn kan logikanya uang hasil korupsi itu bs jd buat modal usahanya dan bkaljd aset jg..dan dr dampak kerugian jga,sangat merugikan rakyat kecil jga.."
117,@faktiansyahfak4018,2023-09-13T13:04:25Z,"Semoga saja arah sitanya benar, tidak ada BB yg di makan petugas, maupun berupa uang atau sabunya, karma slama ini yg kita denger dr kasus jendral polisi kmren yg mengganti BB sabu dg tawas penangkapan kecil aja banyak yg di makan sendiri dg anggota polri apalagi penangkapan besar gini."
118,@wawawawa5811,2023-09-13T12:11:05Z,SEMUA PELAKU DAN  DEKENGAN2 DARI APARAT  PANTAS DI HUKUM MATI BIAR NEGARA INDONESIA TIDAK SEMAKIN MERAJALELA  SANGAT BERBAHAYA BAGI INDONESIA
119,@HardrockMobile,2023-09-19T11:45:34Z,"Mau lihat komen komen orang yang bilang polisi cuma urusin kasus bokep, jangan jangan yang ngomong gitu para pemakai narkoba chuakzzzz, malu SDM rendah"
120,@zhbztagsgssgwg6399,2023-09-12T22:57:52Z,Asal jangan ada udang di balik batok
121,@giobram8077,2023-09-14T15:51:41Z,😂😂😂😂😂
122,@pendekar9246,2023-09-13T12:20:32Z,Polisi udah berusaha keras menangkap bandar narkoba eeehhh mpe di pengadilan dapat hukuman seperti maling sandal
123,@ahonk7195,2023-09-17T07:17:17Z,Anjay 10 T 🎉
124,@jabarufi,2023-09-15T15:07:48Z,Binasakan
125,@user-vi4sn5cy5r,2023-09-16T02:59:21Z,semoga kepolisian engga jadi bekingan2 gembong2 Narkoba
126,@cepisuhendi1528,2023-09-15T22:36:35Z,Hore hore hore hore akusuka aku suka
127,@neroclaudius6524,2023-09-13T05:49:11Z,"<a href=""https://www.youtube.com/watch?v=PO1IloHn1pk&amp;t=10m47s"">10:47</a> terharu dengernya 😢"
128,@taufikoke9367,2023-09-13T00:17:20Z,baru terungkap !!!!  dan ga ada kapoknya !!!  berlakukan hukuman mati ... dorrrrrr ...!!!!!
129,@tomytew,2023-09-15T11:28:04Z,Masih parah ferdy sambo
130,@suyoto5515,2023-09-18T00:29:01Z,Perusak moral bangsa harus dibersikan siapapun oknumnya
131,@anderemaulana2407,2023-09-13T16:27:04Z,"Udah gx heran oknum aparat yg membekingi narkoba , judi dll.<br><br> Udh mnjadi rahasia umum pra oknum aparat yg bermain dg pra mafia"
132,@bapaksunaryo5398,2023-09-13T21:29:38Z,mudah2an tdk ada polisi yg terlibat laagi masalah narkoba. cuku tedy minahasa saja terakhir?
133,@kusnindaryalapratama9447,2023-09-17T09:00:38Z,"Kalau niat diberantas sebetulnya mudah, wong teroris sajs bisa ditemukan"
134,@dannysam213,2023-09-17T16:45:13Z,Gila ..ini Yang backing nya GA da ..?<br>Apa udah duluan Di amankan ..!?<br>Mantabs !!!<br>Suatu perubahan besar POLRI !!!
135,@kafiusis6247,2023-09-13T00:13:47Z,Percuma klo bandar utamanya tdk ditangkap dan langsung eksekusi
136,@nusantara12345,2023-09-15T22:09:38Z,negara jangan sampe salah...smg polisi terus bersih2...
137,@kusnadienco5472,2023-09-19T11:08:23Z,"Gak usah banyak acara langsung saja Bakar itu Narkoba agar gak ditimbun di gudang,,,"
138,@muchyidin4643,2023-09-13T00:27:31Z,Sidang narkoba sebaiknya d percepat  n hukuman mati pun segera d laksakn jgn terlalu lama
139,@nurnita-mv9tx,2023-09-12T23:27:57Z,coba klu di terap kan hukum mati biar jera <br>ini mh byk hukum bisa di diskon jdi penjahat gak pda kapok
140,@indraazis1564,2023-09-18T09:15:20Z,"Lah ini jelas2 kreminal berat,kok tidak  di buka bajunya seperti pejuang2 rempang yg di tangkap ?."
141,@damiangreg2793,2023-09-13T05:18:00Z,Tolong . Semua asset nya di sumbangkan ke masyarakat miskin.
142,@glerimakawekes316,2023-09-17T11:38:55Z,luar biasa POLRI 👍
143,@aditypc1995,2023-09-18T03:34:31Z,"Bongkar sedikit untuk pemberitaan,"
144,@AdiGalaxy-zl3nc,2023-09-19T13:26:46Z,Jgn sampai hilang kasus Ferdy sambo 🙏
145,@romliromli7342,2023-09-12T23:01:43Z,Walah pak pelaku nya polisi juga ma komunis insya allah korban nya kebanyakan penduduk kafe kafe dan discotik
146,@spoilertime5598,2023-09-13T00:09:12Z,"pertanyaan terbesar dalam benakku&quot; aset aset yang disita baik berupa bangunan, tanah, uang dan bentuk fisik berupa kendaraan dari kasus kasus di Indonesia baik kasus kriminal, suap, korupsi dan lain lain dialihkan kemana atau kemana perginya?"
147,@dfotambunan665,2023-09-15T06:49:40Z,"...dari dulu polri hanya bisa membongkar dan menangkap komplotan perdagangan narkoba, namun tidak pernah bisa mencegah masuknya narkoba ke Indonesia... mengapa...???"
148,@AfaRizal86,2023-09-13T11:26:51Z,Kok bisa masuk indonesia pihak keamanan gimana bisa kecolongan ada yg kedapatan tidak
149,@melkidadi2302,2023-09-13T03:03:29Z,"Kasus puluhan milyard saja menguap apa lagi sampai 10 T.<br>Klo awal begini hukum masih tampak garang.,dalam perjalanan entah kena hujan, panas, dan angin malam bisa masuk angin lalu meriang.<br>Kasuspun dipidana bebas bersyarat, menjelang hari proklamasi mendpt remisi bebas.😂😂😂"
150,@nambela402,2023-09-21T17:23:38Z,"PELAKU2 NARKOBA KELAS KAKAP PASTI SEMUANYA RAS CHINA WALAU BANYAK PELAKU2 NARKOBA KELAS DUNIA ETNIS ATAU RAS CHINA YG DIKEMUDIAN HARI MENJADI KONGLOMERAT DIINDONESIA KRN TDK PERNAH TERTANGKAP,KMUDIAN STELAH MENDAPATKN MODAL RATUSAN MILYAR MEREKA MENJADI PENGUSAHA2 DIINDONESIA..!!"
151,@valentinusvalen4321,2023-09-18T08:00:30Z,"Klu bisa barang buktinya sabu2 tu narkoba tolong di bakar, biar tdk bisa  di jual kembali🙏🙏"
152,@abunsobur2999,2023-09-12T23:08:03Z,Coba kerja polisi...
153,@djamilahha5116,2023-09-12T22:27:51Z,Mantap Polri hukum seberat-beratnya Assetnya serahkan kpd Negara....
154,@siboantua9447,2023-09-13T04:27:59Z,Wkwkw kocak bnget dah dia jualan narkoba kenapa harta di sita? Sementara koruptor di pelihara
155,@campbambang8632,2023-09-13T07:53:23Z,Lumayan itu uang sitaan nya..
156,@kuonzay6259,2023-09-18T10:00:15Z,Semoga narkoba bisa mereda . Demi generasi negeri ini.
157,@maryatichanneldubai,2023-09-13T12:24:44Z,"Alhamdulillah, terimakasih bapak polisi semoga semua nya sehat selalu panjang umur."
158,@atukciosukamancing9494,2023-09-13T01:08:14Z,Yakin …. Masih ada yg lebih besar dari ini…. Percayalah
159,@glend432,2023-09-13T01:27:20Z,Alih rampang
160,@kecenguyee8135,2023-09-17T14:28:10Z,Duit rampasan buat apa ya. ......
161,@khairychannel4486,2023-09-19T08:59:53Z,Sepatutnya hukum tembak mati saja sebab merosakkan kehidupan orang lain
162,@jagaindonesia8173,2023-09-12T23:15:21Z,"INI TERORIS  RADIKAL INTOLERAN YG NYATA,,,,INI YG HARUS DITEMBAK MATI,,,,,BUKAN ENAM LASKAR FPI  YG DITEMBAK MATI,,,,,,,,AYO BUKTIKAN ,,SEGERA TEMBAK MATI,,,"
163,@suristinsuristinasuritina6226,2023-09-13T00:08:39Z,"Alhamdullillah...ayo majukan endonesa bersih dari barang terlarang, semoga bandar bandar pengedar satu persatu akan tertangkap semua, biyar rakyàt indonesa ànak generasi muda biyar tidàk di jajah dengan narkoba lagi, karna skrg ini tidàk di kota saja yg diedarin, di desapun dah bànyàk anak anak muda yg di serang di rusak masadepan nya dengan narkoba, oràng tuwa kerja keras di negara orang, ànak nya di rumàh padà di cekokin sama tmn yg dàh liyar, beràntas semua sampai di ujung pelosok desa biyar indonesa bersih dari narkoba, kasihan rakyàt kecil  banyak yg jadi korban.terimakasih bpk polisi semangàt untuk betantas narkoba"
164,@ariandodan920,2023-09-17T10:56:16Z,😂😂😂😂😂
165,@onlineshoppingjakarta7338,2023-09-12T23:39:11Z,Ini kaya di Singapura. Panen duit haram
166,@user-dz9lm7ot3u,2023-09-13T13:43:10Z,"Bravo polri, hukum mati semua pelaku ."
167,@kaisan3448,2023-09-17T11:09:29Z,"Pantas ,,, Rakyat di Negara ini mungkin sekitar 20% sampai 30% konsumsi Narkoba ,,,,"
168,@falenofficial4864,2023-09-16T04:00:45Z,lanjutkan
169,@basoalamsyah-px5ix,2023-09-16T00:54:27Z,Morowali bebas
170,@gilbertlam5588,2023-09-18T01:57:16Z,Jgn2 sohib teddy minahasa😂😊😁😀☺💴💵💶💴💵💶💸💰👎👺👹👺👹
171,@wolfgang2397,2023-09-13T04:30:49Z,Sampe ke polisi (oknum) menikmatinya 😂
172,@rikyfauzi5814,2023-09-16T02:05:24Z,Cair cair
173,@aleshafashion8893,2023-09-13T10:36:47Z,"kalau mau bertindak pasti gk sampai berakar,baru tumbuh aja langsung libas"
174,@agissutisno5132,2023-09-15T22:47:08Z,Negara dan hukum di negara indonesia harus sesuai dengan undang&quot;1945 hukuman mati hatus di tegaskan.
175,@bunda_tary25,2023-09-12T23:50:43Z,SEMOGA HASIL SITAANNYA BISA BIAT BAYAR HUTANG NEGARA
176,@busloveraceh2841,2023-09-13T05:29:07Z,Aset nya duit nya....ntar yg di sita itu buat siapa...?
177,@nikoo5917,2023-09-13T05:30:09Z,ini baru bener !!! kalo cuman 5-6kg gw gak percaya
178,@KurniaAditiya-92,2023-09-15T22:59:05Z,Is riil hukum nya yg mati bukan orang nya yg dhkum mati...kasus² sblumnya bgtu wkwkw
179,@muhzaeni7221,2023-09-19T12:44:22Z,Kemungkinan aparat terlibat
180,@petiskangkung7117,2023-09-19T16:45:44Z,"Rak sah ngo sui , tembak mati tes ...rampung"
181,@ibsonhardi9511,2023-09-14T11:38:25Z,Koq baru skrg terungkap.....
182,@biji_naj,2023-09-13T00:49:53Z,Mungkin dekingannya gak dpt jatah
183,@sunanjogokaligatotsuwignyo2029,2023-09-19T09:20:24Z,Keren Polri hukum mati mereka pwnghacur generasi NKRI
