nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1505,La Jama,2023-09-15T06:14:38Z,"mungkin menangkap Narkoba ini akan Di pindah tugaskan lagi, seperti  yg di tangkap Petinggi Polri,, pdhl mereka see harus di kasi Lencana, mlhan di pindahkan..",tangkap narkoba pindah tugas tangkap petinggi polri see kasi lencana mlhan pindah
1510,Han 123,2023-09-13T05:25:36Z,"BARANG BUKTI NARKOBA NYA MUSNAHKAN LANGSUNG DI TEMPAT KEJADIAN PERKARA ITU, SUPAYA TIDAK LAGI BEREDAR <br><br>NARKOBA NYA LANGSUNG MUSNAHKAN SAAT ITU JUGA DI BAKAR SUPAYA TIDAK LAGI BEREDAR",barang bukti narkoba musnah jadi perkara edar narkoba musnah bakar edar
1511,eko kurniawan,2023-09-13T03:36:48Z,"Di dalam penjara mereka masih bisa berbisnis narkoba , Polisinya bisnis , sipir penjaranya bisnis , hakimnya bisnis. Rezim ini REZIM SANDIWARA....",penjara bisnis narkoba polisi bisnis sipir penjara bisnis hakim bisnis rezim rezim sandiwara
1522,Ahmad fauzi,2023-09-12T23:04:24Z,"NKRI jdi salah satu tujuan utama narkoba,jngan smpai aparat lemah apa lgi smpai terlibat.",nkri jadi salah tuju utama narkoba jngan smpai aparat lemah lagi smpai libat
1524,Shelmanz,2023-09-14T18:11:10Z,SEBENARNYA INI PEKERJAAN ASLI APARAT YANG KAYA KAYA DEMI DIRI SNDRI.. MASUKNYA NARKOBA DRI LUAR NEGRI ITU PASTI A1 ADA BEKENG APARAT PEMEGANG HUKUM. KLO BISA HUKUM MATI DAN TERUS BERSIHKAN SMPAI AKAR AKARNYA. PANTASAN ADA TERUS DI INDONESIA GK HABIS HABIS PADAHAL TAHUN KETAHUN SELALU DITANGKEPIN. TERNYATA EMNG TERNYATA KERJAANYA OKNUM ABDI NEGARA. SANGAT HINA.,kerja asli aparat kaya kaya masuk narkoba negri bekeng aparat pegang hukum hukum mati sih smpai akar akar pantas indonesia tidak habis habis tahun tahun ditangkepin memang kerjaa oknum abdi negara hina
1527,Yuliana Padang01,2023-09-18T03:03:16Z,"Pk ini krna mau Pemilu dibrsihkan nanti sda pemilu bnjir lgi narkoba ,krna dibking oleh oknum pejabat.",pk karena milu dibrsihkan sda milu bnjir lagi narkoba karena dibking oknum jabat
1534,suwar no,2023-09-19T00:37:43Z,"Pelaku2 peredaran narkoba sangat harus dihukum mati sekalipun jendral ,karena mereka itu pengkianat2 bangsa dan negara.<br>Inilah bedanya para pejuang2 dulu dengan elit2 sekarang ini.<br>Pejuang benar2 memikirkan jiwa bangsa dengan taruhan nyawa,<br>Saat ini para penikmat malah marak merusak jiwa bangsa.",pelaku edar narkoba hukum mati jendral pengkianat bangsa negara beda pejuang elit juang benar pikir jiwa bangsa taruh nyawa nikmat marak rusak jiwa bangsa
1538,Ajrin Karim,2023-09-19T11:34:42Z,Owalah paaak2 duit banyak ky gitu mending ksh rakyat yg miskin beras skrg mahal  kadang2 cima mkn pake garrm doang saking gak punya duit pak tangkap dan hukum seberat2nya  klw perlu hukum mati aja,owalah paaak duit ky gitu mending kasih rakyat miskin beras sekarang mahal kadang cima mkn pake garrm doang saking gak duit tangkap hukum klw hukum mati aja
1540,Dody Fitrah. N,2023-09-15T22:45:48Z,"Kalian itu harus jadi stasiun televisi yg berkualitas, coba kalian liput dan telusuri para koruptor itu, itu jelas merugikan rakyat. Sedangkan narkoba itu hanyalah merugikan diri si pemakai",stasiun televisi kualitas coba liput telusur koruptor rugi rakyat narkoba rugi si pakai
1542,Nicko Aditya Utama,2023-09-17T06:46:42Z,"Hati² BB dan uang banyak begitu.<br>Bisa jadi oknum nanti menyalahgunakan BB dan uangnya ditilap, kita berusaha positif thinking dengan barang sitaan tapi oknum tidak bisa kita dipercaya",hati bb uang oknum menyalahgunakan bb uang tilap usaha positif thinking barang sita oknum percaya
1543,Wisnu Fauzi,2023-09-14T06:48:25Z,Ungkap situs situs slot bandar nya or Indonesia semua .. parah co marak sekali di Indonesia judi slot bikin stres or aja,situs situs slot bandar or indonesia parah co marak indonesia judi slot bikin stres or aja
1548,Uniteq adibnajla,2023-09-17T16:34:35Z,"👍hebat polri Indonesia.. biasanya,..&quot;jerung2&quot;ni kebal hukum/undang2.. tabik Spring utkk smua yg terlibat..😁",hebat polri indonesia quot jerung quot kebal hukum undang tabik spring utkk semua libat
1550,Hal Achmad,2023-09-13T05:37:57Z,Waduuuh narkoba lebih  10 T ...bisa merusak puluhan juta generasi muda penerus bangsa ini......hukum penggal aja,waduuuh narkoba rusak puluh juta generasi muda terus bangsa hukum penggal aja
