nomor,nama_akun,tanggal_komentar,komentar
170,Achmaddzaki,2023-09-15T20:10:52Z,GINI DONG POLISI KERJANYA SAYA SEBAGAI MASYARAKAT BANGGA DENGAN KINERJA POLRI!!!!!
171,chandra silaban,2023-09-16T11:49:12Z,Oke..terus???<br>Cerita lama
172,Humma Humma wati,2023-09-13T00:56:20Z,Mantap
173,Nelti Lubis,2023-09-16T01:36:07Z,KALAU ADA PENANGKAPAN NARKOBA YG BENTUKNYA MAFIA PASTI ADA IKUT POLISI.MAKA SEKARANG BANYAK YG BILANG POLISI INDONESIA ADALAH POLISI MAPIA NARKOBA.
174,rezhae,2023-09-17T12:52:31Z,Seharga 6 pesawat tempur
175,Latiful Usrok,2023-09-12T22:38:11Z,Nak pelakune  ada  dari kepol  brani HM ngak tuhhh 😅😅😅😅 aq cuman tanya sihh
176,3 Pandawa,2023-09-13T01:22:39Z,Yg penting jujur ajah barbuk jgn sampai oknum atau cuma ingin forpulalitas ajah 🙏
177,Kalimaya Music,2023-09-13T07:35:38Z,Kalau oknum aparatur negara bersih pasti bakal sulit masuk indonesia😅😅😅
178,januari sitinjak,2023-09-13T00:31:27Z,KENAPA  PEREDARAN  NARKOBA  BEGTU  BESAR  DI INDONESIA.......INI  MENJADI  PERTANYAAN   BESAR........
179,lamhot sihombing,2023-09-19T12:21:00Z,prestasi terbesar kabareskrim yg baru komjen wahyu widada..bravo polri..👍👍👍.selamatkan generasi bangsa ini dr bahaya narkoba.
180,Wirobramantyo,2023-09-16T08:22:47Z,akibat pembagian yang tidak sama rata
181,Golek Upo,2023-09-16T04:36:22Z,Cair2<br>Nyanyur 😂
182,NUR DIYANTO,2023-09-15T23:52:02Z,Jatahnya kurang bisa&quot; terciduk
183,Sut Risno,2023-09-16T03:08:39Z,"Biar merasakan sakitnya se umur hidupnya , nih ini barusan rasatakut.."
184,leonard gasby,2023-09-13T00:45:17Z,Masih byk perwira juga anggota...yg membuat kasus narkoba tertutup rapi. .ini yg harus di bersihkan...pasti akan mudah utk di ungkap..bravo polisi baik
185,Sri Widji Astuti,2023-09-12T22:54:23Z,Alhamdulillah semoga mereka yg terlibat benar2 diberi sanksi hukum sesuai dengan profesi para patriot hukum yg sadar terhadap masa depan putra putri bangsa Indonesia❤
