Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
747,Muhamadalfatir alfatir,2023-09-19T18:27:03Z,"Kami akan tungngu hukuman matinya.,<br>Bukan tajam pda masrakat awam, tumpu <br>Pda para elit dan mayuer.",tungngu hukum mati tajam pda masrakat awam tumpu pda elit mayuer
748,Raja,2023-09-13T04:36:26Z,"Trimakasih luarbiasa Prestasi Mabes Polri, dalam kssus Penangkapan  Bandar Nafkoba. International. Sebagaimasuksn pada Bapsk Kapolri bagaimana upaya Kepolisian RI dan BNN, untuk menciptsksn Masyarakat Indonesia tidak dspst membeli barang Narkoba. Sehingga seluruh masyarakat indonesis. Tidak dapat mempetoleh Nafkoba untuk dikonsumsi untuk digunakan.",terimakasih luarbiasa prestasi mabes polri kssus tangkap bandar nafkoba international sebagaimasuksn bapsk kapolri upaya polisi ri bnn menciptsksn masayarakat indonesia dspst beli barang narkoba masayarakat indonesis toleh nafkoba konsumsi
749,JO- HART,2023-09-18T06:24:27Z,"Hukum mati termasuk oknum aparat yg terlibat, jangan lantas nanti mendapatkan diskon 50%. Seharusnya yg mendiskon juga dikenai pasal.",hukum mati ooknum aparat libat lantas diskon  diskon kena pasal
750,suherman herman,2023-09-12T22:23:11Z,Rakyat mohon kepada Aparat yg menangani kasus Narkoba ini cepay dimusnah kan supaya tidak dimenpatatkan hoknum tidak bertangung Jawab.,rakyat aparat tangan narkoba cepay musnah dimenpatatkan hooknum bertangung
751,Hengki Djapar,2023-09-13T02:48:04Z,Percuma ditangkap<br>Bila aparat hukum kita masih mau diajak main<br>Makanya Narkoba tdk ada habis2 nya.<br>Intinya penjara tidak bikin pelaku bertobat.<br>Justru jadi ajang buat mencari anggota baru.,ditangkapbila aparat hukum ajak mainmaka narkoba tidak habis inti penjara bikin laku tobat ajang cari anggota
752,silitongasabam,2023-09-18T03:28:29Z,"Tidak seorang pun yang bisa lolos dari perbuatan jahat di muka bumi ini, semuanya pasti terungkap capat atau lambat, karna Tuhan selalu menyertai para Polri yang bertugas di seluruh indonesia",lolos buat jahat muka bumi ungkap capat lambat karena tuhan serta polri tugas indonesia
753,K.H. Kastubi,2023-09-17T08:54:44Z,Asyikkk negara ku pesta narkoba  verry good mngisi kmerdekaan dg narkoba😂😂😂😂,asyikkk negara ku pesta narkoba verry good mngisi kmerdekaan dg narkoba
754,Hadi Soje,2023-09-19T12:44:11Z,Dari dulu Pelaku narkoba di tangkap tapi Barangnya di Amankan di simpan oknum polisi. Coba kalau ada barang bukti yang akan di musnakan di siarkan Langsung biar rakyat bisa lihat sekalian jadi saksi.,laku narkoba tangkap barang aman simpan ooknum polisi coba barang bukti musnakan siar biar rakyat saksi
755,yah Putri Aisyah Balqis,2023-09-13T14:00:10Z,Kalau ada penegak hukum atau jendral yg caba2 melindungi ringkus dan tangkap dan hukum mati .tiada ampun buat mereka2 ini,tegak hukum jendral caba lindung ringkus tangkap hukum mati tiada ampun mereka
756,Muhammad Idris,2023-09-15T07:07:51Z,Seandainya petugas aparat benar2 mau membasmi narkoba sesungguhnya tdk sulit tapi aparat itu juga terlibat sebagai beking,anda tugas aparat benar basmi narkoba sungguh tidak sulit aparat libat beking
757,Kyy,2023-09-13T01:34:36Z,"Mantaf Pak ,<br>tpi biar lebih Mantaf, Kota TanjungBalai Wajib juga sebagai target Oprasi Pemberantasan NARKOBA.<br>kerna kota tanjungbalai ini pintu peredaran narkoba dari luar negeri, Dan dsni jga bnyak bandar bandar besar narkoba.",mantaf tapii biar mantaf kota tanjungbalai wajib target oprasi berantas narkoba kerna kota tanjungbalai pintu edar narkoba negeri dsni juga banyak bandar bandar narkoba
758,Slamet Budi,2023-09-13T08:52:30Z,"Se7 bandar narkoba dimiskinkan pak, termasuk para koruptor harus dimiskinkan pak, biar gak bisa sogok penegak hukum...",se bandar narkoba miskin koruptor miskin biar gak sogok tegak hukum
759,Musaat Musaat,2023-09-13T05:28:25Z,Pelakunya di hukum mati berserta polisi yang ikut terlibat harus di hukum mati boss jangan cuma rakyat belaka yang di hukum mati boss,laku hukum mati serta polisi libat hukum mati boss rakyat belaka hukum mati boss
760,La Jama,2023-09-15T06:14:38Z,"mungkin menangkap Narkoba ini akan Di pindah tugaskan lagi, seperti  yg di tangkap Petinggi Polri,, pdhl mereka see harus di kasi Lencana, mlhan di pindahkan..",tangkap narkoba pindah tugas tangkap petinggi polri see kasi lencana mlhan pindah
761,Basuki Ki,2023-09-16T07:37:55Z,"SAYA GAK YAKIN KALAU SABU-SABU DITANGANI POLISI SAMPAI KIAMATAT PUN TIDAK AKAN TUNTAS, SEBAB POLISINYA IKUT ANDIL DAN NIMBRUNG.",gak sabu sabu tangan polisi kiamatat tuntas polisi andil nimbrung
762,moh wakit,2023-09-18T11:59:56Z,Brani ndak ditindak tegas pelakunya...itu yg ditunggu masyarakat jwbnya..contoh hukum seberat beratnya...,brani ndak tindak laku tunggu masayarakat jwb contoh hukum berat berat
763,Maman Supratman,2023-09-12T23:48:50Z,Polisi yang menangkap nya harus diberikan insentif berupa uang jangan sekedar selembar kertas penghargaan saja,polisi tangkap insentif uang dar lembar kertas harga
764,Alex Cobain,2023-09-14T04:45:51Z,"Knpa kok gk habis2 Sabu sabu, di indonesia, pdahal pngkapan selalu bnyak. Trus pemusnahan narkoba itu apa ya, apa dr pngkapan yg kecil2 itu di kumpulin. Dn trus mreka bisa putar melalui krja sama  dgn orang , utk mncri pangkat/orang yg ngejalani di ajk krja sma mnjadi Bandar dn membutahkn dgn uang juga di jamin aman, slnjutxa bandarxa di jdikan korban dgn gnti topeng.. <br>Smoga polisi indonesia mnjadi jujur, amanah, Amin ya Allah.",kenapa habis sabu sabu indonesia pdahal pngkapan banyak terus musnah narkoba dr pngkapan kecil kumpulin dan terus mreka putar krja dengan untuk mncri pangkat ngejalani ajk krja sma menjadi bandar dan membutahkn dengan uang jamin aman slnjutxa bandarxa jadikan korban dengan gnti topeng smoga polisi indonesia menjadi jujur amanah amin allah
765,Toga Raja Manurung,2023-09-20T10:55:46Z,Palingan barbut di tukar dengan tawas lalu barbut nya di edarkan kembali<br>Saya tidak akan pernah percaya kalau barbut di musnahkan,paling barbut tukar tawas barbut edar kembalisaya percaya barbut musnah
766,Biasa Aja,2023-09-13T09:09:50Z,Mhn bagikan BB uang 65M kpd kami fakir miskin ....,mhn bagi uang   kpd fakir miskin
767,Paijo Londo,2023-09-13T00:24:33Z,"Jika sdh di sita aset&quot;nya sebaikx secepatny di exsekusi mati ,, sj , sama halnya jugak orang&quot; yg koropsi harus di hukum mati /langsung di exsekusi mati sj ,",sudah sita aset sebaikx secepatny eksekusi mati saja hal jugak koropsi hukum mati eksekusi mati saja
